Vᵢᵢ,Vᵢⱼ,Vᵢᵢ_std,Vᵢⱼ_std,τ,n_data,raw_ssr_sum,raw_neglogprob_sum,param_penalty_sum,loss_final_sum
1.0,0.2996696651974231,0.09861547419735389,0.6634128018536292,0.5,24,0.10213439219922053,0.5469171849826131,0.040832371411409316,0.5033629868508831
1.0,0.2996696651974231,0.09861547419735389,0.6634128167547904,0.5,24,0.10213439248490647,0.5469171860820121,0.040832370793014945,0.5033629868509074
0.9999999850988388,0.2996696651974231,0.09861547419735389,0.6634128018536292,0.5,24,0.10213439259358156,0.5469171881766802,0.040832371307807334,0.5033629876923428
1.0,0.2996696651974231,0.09861548909851509,0.6634128018536292,0.5,24,0.10213439310225249,0.5469171901115569,0.040832371148745855,0.5033629868542109
1.0,0.2996696651974231,0.09861547419735389,0.6634128018536292,0.5000000149011612,24,0.10213439683237398,0.5469172104930139,0.0408323711069203,0.5033630075229251
1.0,0.2975670341354609,0.09856192935209598,0.6611458703343107,0.5,24,0.1022325483440415,0.5470288805194097,0.040681743487376056,0.5033640713025429
1.0,0.2975670241354609,0.09856192935209598,0.6611458703343107,0.5,24,0.1022325490348237,0.5470288819392702,0.04068174231979083,0.50336407131242
1.0,0.2975670241354609,0.09856192935209598,0.6611458803343108,0.5,24,0.10223254922465665,0.5470288826753514,0.04068174190714375,0.5033640713120502
0.99999999,0.2975670241354609,0.09856192935209598,0.6611458703343107,0.5,24,0.1022325492986332,0.5470288840798012,0.04068174225050938,0.5033640718753178
1.0,0.2975670241354609,0.09856193935209598,0.6611458703343107,0.5,24,0.10223254963901217,0.5470288853727152,0.04068174214404526,0.5033640713064277
1.0,0.2975670241354609,0.09856192935209598,0.6611458703343107,0.50000001,24,0.10223255214275616,0.5470288990540275,0.04068174211523348,0.5033640851836452
1.0,0.2874942511408176,0.09812457459997789,0.652424016437021,0.5,24,0.10275389467805035,0.5477052588243376,0.0398671565354635,0.5034031308039328
1.0,0.2874942411408176,0.09812457459997789,0.652424016437021,0.5,24,0.10275389539466037,0.5477052603211485,0.03986715537031315,0.5034031308801018
1.0,0.2874942411408176,0.09812457459997789,0.652424026437021,0.5,24,0.10275389557426494,0.5477052610598868,0.03986715497435701,0.5034031308926948
0.99999999,0.2874942411408176,0.09812457459997789,0.652424016437021,0.5,24,0.10275389565263428,0.5477052624382699,0.039867155302677426,0.503403131427387
1.0,0.2874942411408176,0.09812458459997789,0.652424016437021,0.5,24,0.10275389598656354,0.5477052636957641,0.03986715519797871,0.5034031308176182
1.0,0.2874942411408176,0.09812457459997789,0.652424016437021,0.50000001,24,0.10275389849564656,0.5477052774152001,0.03986715516447684,0.5034031447451345
1.0,0.2623518272850084,0.09786225424547855,0.6308530168638784,0.5,24,0.10427157759847012,0.5500491660941909,0.03775838763837716,0.5037660785679068
1.0,0.2623518172850084,0.09786225424547855,0.6308530168638784,0.5,24,0.10427157838566901,0.5500491678101435,0.03775838648335105,0.5037660788355833
1.0,0.2623518172850084,0.09786225424547855,0.6308530268638785,0.5,24,0.10427157853412328,0.550049168552465,0.037758386134557745,0.5037660788817941
0.99999999,0.2623518172850084,0.09786225424547855,0.6308530168638784,0.5,24,0.10427157863717691,0.5500491699190375,0.03775838641927006,0.5037660793795163
1.0,0.2623518172850084,0.09786226424547854,0.6308530168638784,0.5,24,0.10427157896229691,0.5500491711311184,0.03775838631963702,0.5037660787181935
1.0,0.2623518172850084,0.09786225424547855,0.6308530168638784,0.50000001,24,0.10427158146899886,0.5500491848635286,0.03775838627454114,0.5037660926879314
1.0,0.2083595862337509,0.0917198167781498,0.4035585473055467,0.5,24,0.10761837798095773,0.5523936374715396,0.03951897322159987,0.5167891288913992
