conditional_welfare_mode,reference_dependent_altruism,min_max_rawlsian_leontief,include_welfare_efficiency_term,include_relative_income_penalty,use_exponential_parameters,apply_exponents_to_payoffs,uniform_exponential_parameter,single_payoffs_not_differences,payoff_ratios_not_differences,reference_dependent_utility,use_negativity_parameters,negativity_social_comparison,fix_self_interest_parameter,include_social_comparison,include_altruism_term,idx,n_data,k_params,pvar,param_norm_sd,loss,AIC,BIC,ΔAIC,ΔBIC,AIC_rank,BIC_rank,equation
False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,17,200,3,0.0,0.32724801447359547,95.52799288936161,197.05598577872323,206.95093787836734,30.651504282009938,23.773526872906075,2,2,"Uᵢ(A) = Vᵢᵢ × max([πᵢᴬ / (πᵢᴬ + πᵢᴮ) - 1/2], 0)^γ₁ - Ʌᵢᵢ × max([πᵢᴮ / (πᵢᴮ + πᵢᴬ) - 1/2], 0)^γ₁"
False,False,False,False,False,False,False,True,True,False,False,False,True,True,True,False,11,200,2,0.0,0.3097997438372523,104.99500266865948,213.99000533731896,220.58664007041503,47.585523840605674,37.40922906495376,5,5,"Uᵢ(A) = πᵢᴬ - αᵢⱼ × max(πⱼᴬ - πᵢᴬ, 0) - βᵢⱼ × max(πᵢᴬ - πⱼᴬ, 0)"
False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,26,200,6,0.0,0.327892168838368,94.60813647911435,201.2162729582287,221.0061771575169,34.81179146151541,37.828766152055636,2,2,"Uᵢ(A) = Vᵢᵢ × max([πᵢᴬ / (πᵢᴬ + πᵢᴮ) - 1/2], 0)^γ₁ - Ʌᵢᵢ × max([πᵢᴮ / (πᵢᴮ + πᵢᴬ) - 1/2], 0)^γ₁ - αᵢⱼ × max([πⱼᴬ / (πᵢᴬ + πⱼᴬ) - 1/2], 0)^γ₃ - βᵢⱼ × max([πᵢᴬ / (πᵢᴬ + πⱼᴬ) - 1/2], 0)^γ₃"
False,False,False,False,False,True,False,False,False,True,False,True,True,True,True,True,32,200,8,0.0,0.24656084635680806,90.77474846235286,197.54949692470572,223.93603585709002,31.145015427992433,40.75862485162875,2,2,"Uᵢ(A) = max([πᵢᴬ / (πᵢᴬ + πᵢᴮ) - 1/2], 0)^γ₁ + Vᵢⱼ × max([πⱼᴬ / (πⱼᴬ + πⱼᴮ) - 1/2], 0)^γ₂ - Ʌᵢⱼ × max([πⱼᴮ / (πⱼᴮ + πⱼᴬ) - 1/2], 0)^γ₂ - αᵢⱼ × max([πⱼᴬ / (πᵢᴬ + πⱼᴬ) - 1/2], 0)^γ₃ - βᵢⱼ × max([πᵢᴬ / (πᵢᴬ + πⱼᴬ) - 1/2], 0)^γ₃"
False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,True,35,200,9,0.0,0.37440913629577977,90.16932745137021,198.33865490274042,228.02351120167273,31.934173406027128,44.84610019621147,2,2,"Uᵢ(A) = Vᵢᵢ × max([πᵢᴬ / (πᵢᴬ + πᵢᴮ) - 1/2], 0)^γ₁ - Ʌᵢᵢ × max([πᵢᴮ / (πᵢᴮ + πᵢᴬ) - 1/2], 0)^γ₁ + Vᵢⱼ × max([πⱼᴬ / (πⱼᴬ + πⱼᴮ) - 1/2], 0)^γ₂ - Ʌᵢⱼ × max([πⱼᴮ / (πⱼᴮ + πⱼᴬ) - 1/2], 0)^γ₂ - αᵢⱼ × max([πⱼᴬ / (πᵢᴬ + πⱼᴬ) - 1/2], 0)^γ₃ - βᵢⱼ × max([πᵢᴬ / (πᵢᴬ + πⱼᴬ) - 1/2], 0)^γ₃"
True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,12,200,2,0.0,0.27374391877904986,109.74416043862465,223.4883208772493,230.08495561034536,57.083839380536006,46.907544604884094,6,6,Uᵢ(A) = Vᵢᵢ(πᵢᴬ) + (1 - Vᵢᵢ)(πⱼᴬ) if πᵢᴬ ≥ πⱼᴬ else Ʌᵢᵢ(πᵢᴬ) + (1 - Ʌᵢᵢ)(πⱼᴬ)
False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,7,200,1,0.0,0.2377044197244199,113.82664239468386,229.65328478936772,232.95160215591577,63.24880329265443,49.7741911504545,3,3,Uᵢ(A) = πᵢᴬ + Vᵢⱼ(πⱼᴬ)
False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,2,200,0,0.0,,118.69452110145139,237.38904220290277,237.38904220290277,70.98456070618948,54.211631197441505,0,0,Uᵢ(A) = πᵢᴬ - 3
False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,1,200,0,0.0,,118.69452110145139,237.38904220290277,237.38904220290277,70.98456070618948,54.211631197441505,0,0,Uᵢ(A) = πᵢᴬ
False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,6,200,1,0.0,0.4879126901065667,119.95986895038448,241.91973790076895,245.218055267317,75.51525640405566,62.04064426185573,4,4,"Uᵢ(A) = [πᵢᴬ / (πᵢᴬ + πᵢᴮ) - 1/2] - αᵢⱼ × (max([πⱼᴬ / (πᵢᴬ + πⱼᴬ) - 1/2], 0) + max([πᵢᴬ / (πᵢᴬ + πⱼᴬ) - 1/2], 0))"
False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,0,200,0,0.0,,149.70928840412407,299.41857680824813,299.41857680824813,133.01409531153485,116.24116580278687,2,2,Uᵢ(A) = πᵢᴬ - πᵢᴮ
